1,3.814697265625e-06
5000,4.0531158447265625e-06
9999,4.0531158447265625e-06
14998,5.0067901611328125e-06
19997,5.7220458984375e-06
24996,3.0994415283203125e-06
29995,5.0067901611328125e-06
34994,2.6226043701171875e-06
39993,3.0994415283203125e-06
44992,4.0531158447265625e-06
49991,1.3113021850585938e-05
54990,5.245208740234375e-06
59989,4.0531158447265625e-06
64988,5.245208740234375e-06
69987,5.0067901611328125e-06
74986,1.5735626220703125e-05
79985,4.76837158203125e-06
84984,8.106231689453125e-06
89983,5.9604644775390625e-06
94982,3.814697265625e-06
