3,6.198883056640625e-06
5002,2.1457672119140625e-06
10001,2.1457672119140625e-06
15000,1.9073486328125e-06
19999,2.1457672119140625e-06
24998,9.5367431640625e-07
29997,2.1457672119140625e-06
34996,2.6226043701171875e-06
39995,3.0994415283203125e-06
44994,2.1457672119140625e-06
49993,5.7220458984375e-06
54992,4.0531158447265625e-06
59991,5.9604644775390625e-06
64990,5.245208740234375e-06
69989,5.245208740234375e-06
74988,3.0994415283203125e-06
79987,5.9604644775390625e-06
84986,6.9141387939453125e-06
89985,4.0531158447265625e-06
94984,2.1457672119140625e-06
