2,3.0994415283203125e-06
5001,2.1457672119140625e-06
10000,5.0067901611328125e-06
14999,3.0994415283203125e-06
19998,4.0531158447265625e-06
24997,3.814697265625e-06
29996,7.867813110351562e-06
34995,2.1457672119140625e-06
39994,6.198883056640625e-06
44993,4.76837158203125e-06
49992,4.76837158203125e-06
54991,4.0531158447265625e-06
59990,1.9073486328125e-06
64989,3.814697265625e-06
69988,1.6689300537109375e-06
74987,1.9073486328125e-06
79986,4.0531158447265625e-06
84985,4.291534423828125e-06
89984,9.059906005859375e-06
94983,3.0994415283203125e-06
