1,4.291534423828125e-06
5000,4.291534423828125e-06
9999,4.0531158447265625e-06
14998,4.0531158447265625e-06
19997,7.867813110351562e-06
24996,4.291534423828125e-06
29995,3.814697265625e-06
34994,4.0531158447265625e-06
39993,3.814697265625e-06
44992,5.0067901611328125e-06
49991,5.0067901611328125e-06
54990,3.814697265625e-06
59989,2.86102294921875e-06
64988,3.814697265625e-06
69987,4.76837158203125e-06
74986,5.0067901611328125e-06
79985,4.0531158447265625e-06
84984,2.1457672119140625e-06
89983,1.6689300537109375e-06
94982,3.0994415283203125e-06
