2,5.0067901611328125e-06
5001,4.0531158447265625e-06
10000,6.9141387939453125e-06
14999,3.814697265625e-06
19998,3.0994415283203125e-06
24997,4.0531158447265625e-06
29996,6.198883056640625e-06
34995,7.867813110351562e-06
39994,9.059906005859375e-06
44993,6.198883056640625e-06
49992,4.0531158447265625e-06
54991,7.152557373046875e-06
59990,1.0013580322265625e-05
64989,6.9141387939453125e-06
69988,3.814697265625e-06
74987,8.821487426757812e-06
79986,1.1205673217773438e-05
84985,6.198883056640625e-06
89984,7.867813110351562e-06
94983,9.059906005859375e-06
